x,y,z
23.7199,12.8148,30
18.1357,6.32291,12
22.1375,38.2114,59
20.1984,40.2963,73
13.3711,15.9109,29
24.8545,93.1165,163
14.2092,21.6943,43
8.18788,97.1863,169
15.2707,77.3528,96
10.7429,37.9053,68
18.9938,68.5523,146
18.4833,14.7863,36
21.4273,51.7452,86
6.95146,5.20639,14
14.1393,50.2364,104
22.6318,21.2584,42
18.8225,66.5436,112
16.5302,60.6677,110
20.3313,39.8751,84
16.6603,72.0534,115
17.3509,43.7204,70
16.0065,29.4804,65
17.895,19.4654,39
12.8312,28.673,53
11.7742,21.7048,31
17.7607,4.22564,5
11.0647,24.8596,43
15.7711,77.8264,133
12.3102,54.8548,129
8.71732,97.6539,156
19.3238,45.2797,73
18.8999,11.5656,28
12.7446,96.7684,171
18.9774,65.7928,118
25.7311,66.8742,109
17.972,72.3337,129
11.4873,16.5402,25
18.9361,79.2205,137
17.0851,12.2073,27
20.9871,88.8989,151
15.2353,24.7513,42
20.26,90.9996,150
20.5795,12.9527,21
17.5772,33.4955,70
15.5406,95.5867,175
16.383,31.5641,54
12.5867,99.9417,175
16.7217,69.9912,111
20.489,49.3439,63
22.2439,37.1915,58
15.1666,29.4641,59
16.5529,21.2007,38
16.6858,51.5282,85
20.9154,31.7523,50
22.8673,5.79142,14
16.601,98.2941,167
17.8517,94.7358,140
19.8312,33.0725,58
16.9842,52.7793,86
20.4266,95.5941,181
13.1378,61.4576,100
11.9752,42.3533,65
20.7124,87.1111,156
17.1557,61.3447,103
14.7423,10.6993,31
17.622,9.83884,27
11.0839,56.1682,84
10.5383,42.6765,80
19.1994,58.0488,112
18.2181,93.1724,170
15.8093,68.4388,112
17.939,3.66903,10
20.341,9.60369,25
19.9943,94.865,175
15.0006,35.9847,60
5.51979,77.5986,109
15.5624,82.8853,141
17.1774,89.3185,154
14.9397,10.1041,18
20.2456,69.273,124
7.15177,42.0586,73
16.5697,33.991,78
13.5618,60.1931,102
19.9827,72.5318,108
18.9203,31.6632,50
10.1459,74.5814,120
20.754,18.8178,37
14.6931,3.58926,9
19.7444,59.9834,101
15.0568,34.754,66
19.3079,50.8264,79
14.3681,93.7555,153
18.4737,65.1072,110
16.9446,42.3474,80
16.7667,42.2036,83
18.4064,65.3341,118
19.755,89.5773,161
21.0064,94.401,170
16.2599,40.9085,74
14.2411,60.0909,116
